Model_result
Normal
Seizure
Normal
Normal
Normal
Normal
Seizure
Seizure
Normal
Normal
Normal
Seizure
Normal
Seizure
Normal
Normal
Seizure
Seizure
Seizure
Seizure
Seizure
Normal
Normal
