loss,acc,AUC,val_loss,val_acc,val_AUC,lr
0.4852716326713562,0.7839921712875366,0.8470073938369751,0.6404659152030945,0.6883238554000854,0.8110126256942749,0.001
0.40036725997924805,0.8302506804466248,0.8991556763648987,0.5252152681350708,0.7258270382881165,0.8678433895111084,0.001
0.35038313269615173,0.8517833352088928,0.9236820936203003,0.5364180207252502,0.7555914521217346,0.8815755844116211,0.001
0.31170031428337097,0.869515597820282,0.9401858448982239,0.5286557674407959,0.7552512884140015,0.9002761840820312,0.001
0.28407010436058044,0.8829413056373596,0.9505038261413574,0.4962274134159088,0.774810791015625,0.8976618647575378,0.001
0.2565276324748993,0.8951799869537354,0.9597181081771851,0.49365565180778503,0.7905434370040894,0.8958398699760437,0.001
0.23170939087867737,0.9049985408782959,0.9672582149505615,0.4983380138874054,0.7848456501960754,0.9062959551811218,0.001
0.21430839598178864,0.9129582643508911,0.9718475341796875,0.5756376385688782,0.757887601852417,0.9049904346466064,0.001
0.19518186151981354,0.9210191965103149,0.9765644669532776,0.5392342209815979,0.776681661605835,0.9076392650604248,0.001
0.1562400758266449,0.9371779561042786,0.9849459528923035,0.6268686056137085,0.7765966653823853,0.9076861143112183,0.000100000005
0.14391471445560455,0.942929208278656,0.9870113730430603,0.6259127855300903,0.7765116095542908,0.9074238538742065,0.000100000005
0.13813361525535583,0.9453216791152954,0.9881245493888855,0.6215587854385376,0.7839952111244202,0.9048328399658203,0.000100000005
0.13383573293685913,0.9471253156661987,0.9886596202850342,0.6588196158409119,0.7763414978981018,0.9051259756088257,1.0000001e-05
0.13235017657279968,0.9476221799850464,0.988894522190094,0.659595787525177,0.7764265537261963,0.9054194688796997,1.0000001e-05
0.13106709718704224,0.9474657773971558,0.9893063902854919,0.6564143896102905,0.7774470448493958,0.9052633047103882,1.0000001e-05
